benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,ours,medium,,2000,2000,1000,TIMEOUT,30.0,30,,,,,,timeout 30s,2026-04-28T06:52:16+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,ours,medium,,2000,2000,1000,UNSAT,34.4,60,1.0000,,2.4208,0.0010,0.9960,,2026-04-28T06:52:50+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,ours,full,,5000,2000,2000,TIMEOUT,30.0,30,,,,,,timeout 30s,2026-04-28T06:53:20+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,ours,full,,5000,2000,2000,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:53:20+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,ours,full,,5000,2000,2000,SKIPPED,,60,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:53:20+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.3,30,0.9980,1000,,0.0010,,,2026-04-28T06:53:21+00:00
cora_2024,mnist-trades.onnx+mnist-img0.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.4,30,0.9970,1000,,0.0010,,,2026-04-28T06:53:23+00:00
cora_2024,mnist-set.onnx+mnist-img0.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.4,30,0.9980,1000,,0.0010,,,2026-04-28T06:53:24+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,8.9,30,0.9990,1000,,0.0010,,,2026-04-28T06:53:33+00:00
cora_2024,mnist-trades.onnx+mnist-img0.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,8.5,30,1.0000,1000,,0.0010,,,2026-04-28T06:53:41+00:00
